agegroup,Date,Sex,Active_Cases,Active_numbers,Active_Numbers_Female,Active_Numbers_Male,Cases,Cases_Female,Cases_Male,Daily_Recovered,Number of Records,Zero
70-79,2/02/2020,Female,0,0,0,0,0,0,0,0,1,0
80-89,2/02/2020,Female,0,0,0,0,0,0,0,0,1,0
90+,2/02/2020,Female,0,0,0,0,0,0,0,0,1,0
0-9,2/02/2020,Male,0,0,0,0,0,0,0,0,1,0
10-19,2/02/2020,Male,0,0,0,0,0,0,0,0,1,0
20-29,2/02/2020,Male,0,0,0,0,0,0,0,0,1,0
30-39,2/02/2020,Male,0,0,0,0,0,0,0,0,1,0
40-49,2/02/2020,Male,0,0,0,0,0,0,0,0,1,0
50-59,2/02/2020,Male,1,1,0,1,,0,,,1,0
60-69,2/02/2020,Male,1,1,0,1,,0,,,1,0
70-79,2/02/2020,Male,0,0,0,0,0,0,0,0,1,0
80-89,2/02/2020,Male,0,0,0,0,0,0,0,0,1,0
90+,2/02/2020,Male,0,0,0,0,0,0,0,0,1,0
0-9,2/02/2020,Other,0,0,0,0,0,0,0,0,1,0
10-19,2/02/2020,Other,0,0,0,0,0,0,0,0,1,0
20-29,2/02/2020,Other,0,0,0,0,0,0,0,0,1,0
30-39,2/02/2020,Other,0,0,0,0,0,0,0,0,1,0
40-49,2/02/2020,Other,0,0,0,0,0,0,0,0,1,0
50-59,2/02/2020,Other,0,0,0,0,0,0,0,0,1,0
60-69,2/02/2020,Other,0,0,0,0,0,0,0,0,1,0
70-79,2/02/2020,Other,0,0,0,0,0,0,0,0,1,0
80-89,2/02/2020,Other,0,0,0,0,0,0,0,0,1,0
90+,2/02/2020,Other,0,0,0,0,0,0,0,0,1,0
0-9,3/02/2020,Female,0,0,0,0,0,0,0,0,1,0
10-19,3/02/2020,Female,0,0,0,0,0,0,0,0,1,0
20-29,3/02/2020,Female,1,1,1,0,,,0,,1,0
30-39,3/02/2020,Female,0,0,0,0,0,0,0,0,1,0
